sentence_id,review_text,predicted_sentiment,confidence_score,dataset,movie_genre,review_length
1,A fair movie that had some good moments.,neutral,0.816,SST-3 (Movies),Action,8
2,A terrible disaster that disappointed me.,negative,0.672,SST-3 (Movies),Action,6
3,"This film exceeded all expectations, it was spectacular.",positive,0.848,SST-3 (Movies),Horror,8
4,"This film exceeded all expectations, it was excellent.",positive,0.91,SST-3 (Movies),Drama,8
5,The acting was terrible and the plot was terrible.,negative,0.894,SST-3 (Movies),Sci-Fi,9
6,Brilliant performances throughout!,positive,0.825,SST-3 (Movies),Comedy,3
7,This movie was stellar!,positive,0.866,SST-3 (Movies),Horror,4
8,Boring from start to finish.,negative,0.914,SST-3 (Movies),Sci-Fi,5
9,Brilliant performances throughout!,positive,0.928,SST-3 (Movies),Drama,3
10,The cinematography was stunning and remarkable.,positive,0.814,SST-3 (Movies),Drama,6
11,Complete disaster - don't waste your money.,negative,0.873,SST-3 (Movies),Horror,7
12,"This film exceeded all expectations, it was spectacular.",positive,0.923,SST-3 (Movies),Comedy,8
13,"Not great, not terrible, just fair.",neutral,0.99,SST-3 (Movies),Sci-Fi,6
14,What a magnificent experience!,positive,0.866,SST-3 (Movies),Sci-Fi,4
15,It's a forgettable experience overall.,neutral,0.968,SST-3 (Movies),Romance,5
16,Brilliant performances throughout!,positive,0.836,SST-3 (Movies),Action,3
17,Absolutely excellent film!,positive,0.845,SST-3 (Movies),Sci-Fi,3
18,The direction was awful and the script was horrible.,negative,0.748,SST-3 (Movies),Comedy,9
19,Complete disaster - don't waste your money.,negative,0.605,SST-3 (Movies),Comedy,7
20,The direction was awful and the script was awful.,negative,0.982,SST-3 (Movies),Drama,9
21,A spectacular masterpiece that blew me away.,positive,0.84,SST-3 (Movies),Drama,7
22,"Nothing special, just fair.",neutral,0.86,SST-3 (Movies),Comedy,4
23,The cinematography was stunning and extraordinary.,positive,0.76,SST-3 (Movies),Comedy,6
24,A boring disaster that disappointed me.,negative,0.67,SST-3 (Movies),Sci-Fi,6
25,It was an mediocre film.,neutral,0.961,SST-3 (Movies),Horror,5
26,It was an fair film.,neutral,0.669,SST-3 (Movies),Drama,5
27,A fantastic masterpiece that blew me away.,positive,0.67,SST-3 (Movies),Comedy,7
28,The cinematography was stunning and outstanding.,positive,0.799,SST-3 (Movies),Comedy,6
29,The direction was awful and the script was frustrating.,negative,0.764,SST-3 (Movies),Sci-Fi,9
30,I've never seen such pathetic performances.,negative,0.61,SST-3 (Movies),Drama,6
31,Brilliant performances throughout!,positive,0.887,SST-3 (Movies),Sci-Fi,3
32,A stellar masterpiece that blew me away.,positive,0.946,SST-3 (Movies),Romance,7
33,A mediocre movie that had some good moments.,neutral,0.723,SST-3 (Movies),Drama,8
34,I've never seen such stupid performances.,negative,0.974,SST-3 (Movies),Action,6
35,Complete disaster - don't waste your money.,negative,0.71,SST-3 (Movies),Romance,7
36,"This film exceeded all expectations, it was excellent.",positive,0.883,SST-3 (Movies),Sci-Fi,8
37,One of the most wonderful movies I've ever seen.,positive,0.909,SST-3 (Movies),Action,9
38,I've never seen such stupid performances.,negative,0.962,SST-3 (Movies),Romance,6
39,One of the most magnificent movies I've ever seen.,positive,0.921,SST-3 (Movies),Sci-Fi,9
40,Boring from start to finish.,negative,0.647,SST-3 (Movies),Comedy,5
41,A terrible disaster that disappointed me.,negative,0.875,SST-3 (Movies),Romance,6
42,"This film exceeded all expectations, it was excellent.",positive,0.673,SST-3 (Movies),Comedy,8
43,I have mixed feelings about this film.,neutral,0.658,SST-3 (Movies),Drama,7
44,The acting was superb and the story was incredible.,positive,0.708,SST-3 (Movies),Sci-Fi,9
45,What a remarkable experience!,positive,0.817,SST-3 (Movies),Horror,4
46,The acting was decent and the story was adequate.,neutral,0.648,SST-3 (Movies),Sci-Fi,9
47,One of the most unforgettable movies I've ever seen.,positive,0.754,SST-3 (Movies),Horror,9
48,"Some parts were good, others were unremarkable.",neutral,0.762,SST-3 (Movies),Action,7
49,A excellent masterpiece that blew me away.,positive,0.807,SST-3 (Movies),Horror,7
50,This is hands down the annoying film of the year.,negative,0.985,SST-3 (Movies),Romance,10
51,Absolutely extraordinary film!,positive,0.666,SST-3 (Movies),Romance,3
52,The movie was passable but also entertaining.,neutral,0.858,SST-3 (Movies),Romance,7
53,It was an forgettable film.,neutral,0.843,SST-3 (Movies),Action,5
54,This movie was wonderful!,positive,0.975,SST-3 (Movies),Sci-Fi,4
55,A wonderful masterpiece that blew me away.,positive,0.8,SST-3 (Movies),Action,7
56,I was amazed by this incredible film.,positive,0.75,SST-3 (Movies),Sci-Fi,7
57,A wonderful masterpiece that blew me away.,positive,0.707,SST-3 (Movies),Action,7
58,"Nothing special, just middling.",neutral,0.83,SST-3 (Movies),Horror,4
59,I've never seen such horrible performances.,negative,0.684,SST-3 (Movies),Comedy,6
60,The movie was passable but also entertaining.,neutral,0.903,SST-3 (Movies),Sci-Fi,7
61,A adequate movie that had some good moments.,neutral,0.834,SST-3 (Movies),Action,8
62,I was amazed by this incredible film.,positive,0.7,SST-3 (Movies),Sci-Fi,7
63,The acting was magnificent and the story was incredible.,positive,0.849,SST-3 (Movies),Horror,9
64,Brilliant performances throughout!,positive,0.617,SST-3 (Movies),Comedy,3
65,I've never seen such annoying performances.,negative,0.935,SST-3 (Movies),Drama,6
66,The acting was decent and the story was so-so.,neutral,0.774,SST-3 (Movies),Sci-Fi,9
67,What a wonderful experience!,positive,0.729,SST-3 (Movies),Sci-Fi,4
68,Absolutely spectacular film!,positive,0.982,SST-3 (Movies),Comedy,3
69,Terrible - I want my money back!,negative,0.655,SST-3 (Movies),Romance,7
70,A brilliant masterpiece that blew me away.,positive,0.702,SST-3 (Movies),Romance,7
