review_id,review_text,predicted_sentiment,probability_positive,probability_negative,probability_neutral,dataset,price_range,meal_type,review_stars
10001,I got sick after eating here.,negative,0.581,0.217,0.202,Restaurant Reviews (Bakeoff),$$$,Breakfast,5.0
10002,Absolutely delicious food and great service.,positive,0.612,0.24,0.148,Restaurant Reviews (Bakeoff),$,Lunch,3.7
10003,Complete rip-off for the price.,negative,0.52,0.244,0.237,Restaurant Reviews (Bakeoff),$$$$,Brunch,4.5
10004,Best meal in town!,positive,0.583,0.328,0.088,Restaurant Reviews (Bakeoff),$$$,Takeout,4.0
10005,Best meal in town!,positive,0.843,0.097,0.059,Restaurant Reviews (Bakeoff),$$$$,Breakfast,1.9
10006,Disgusting - never coming back.,negative,0.735,0.177,0.087,Restaurant Reviews (Bakeoff),$,Dinner,4.3
10007,It's a standard restaurant overall.,neutral,0.799,0.096,0.104,Restaurant Reviews (Bakeoff),$$$,Brunch,4.9
10008,The food was average.,neutral,0.416,0.307,0.277,Restaurant Reviews (Bakeoff),$$,Brunch,3.0
10009,Absolutely delicious food and great service.,positive,0.445,0.294,0.261,Restaurant Reviews (Bakeoff),$,Dinner,2.5
10010,The quality exceeded all expectations.,positive,0.654,0.066,0.28,Restaurant Reviews (Bakeoff),$$,Lunch,3.6
10011,The food was exceptional!,positive,0.789,0.041,0.171,Restaurant Reviews (Bakeoff),$$,Lunch,1.7
10012,Best meal in town!,positive,0.881,0.025,0.094,Restaurant Reviews (Bakeoff),$,Brunch,1.8
10013,Best meal in town!,positive,0.719,0.266,0.015,Restaurant Reviews (Bakeoff),$$$$,Brunch,2.0
10014,The staff was friendly and the food was flawless.,positive,0.664,0.246,0.089,Restaurant Reviews (Bakeoff),$$$$,Lunch,5.0
10015,Complete rip-off for the price.,negative,0.617,0.25,0.133,Restaurant Reviews (Bakeoff),$$$,Lunch,4.9
10016,The staff was friendly and the food was perfect.,positive,0.551,0.281,0.168,Restaurant Reviews (Bakeoff),$$$$,Breakfast,1.3
10017,The dessert is to die for!,positive,0.743,0.008,0.249,Restaurant Reviews (Bakeoff),$$,Takeout,1.1
10018,"I've had better, I've had worse.",neutral,0.728,0.154,0.118,Restaurant Reviews (Bakeoff),$$$$,Dinner,5.0
10019,Terrible experience - extremely disappointing.,negative,0.656,0.17,0.174,Restaurant Reviews (Bakeoff),$$$,Dinner,4.4
10020,It's a standard restaurant overall.,neutral,0.765,0.198,0.037,Restaurant Reviews (Bakeoff),$$,Breakfast,1.1
10021,Best meal in town!,positive,0.794,0.061,0.145,Restaurant Reviews (Bakeoff),$$,Lunch,4.8
10022,The portion was small and overpriced.,negative,0.787,0.165,0.048,Restaurant Reviews (Bakeoff),$$$,Dinner,4.4
10023,It's a standard restaurant overall.,neutral,0.707,0.276,0.018,Restaurant Reviews (Bakeoff),$,Brunch,1.8
10024,I'm very happy with everything here.,positive,0.536,0.225,0.239,Restaurant Reviews (Bakeoff),$$$$,Dinner,2.0
