example_id,review_text,domain,predicted_sentiment,confidence,model_version
1,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.714,BERT-base-finetuned
2,One of the best films I've seen this year!,Movies,positive,0.764,BERT-base-finetuned
3,One of the best films I've seen this year!,Movies,positive,0.962,BERT-base-finetuned
4,Absolutely brilliant from start to finish!,Movies,positive,0.971,BERT-base-finetuned
5,The pacing was off and the ending felt rushed.,Movies,neutral,0.566,BERT-base-finetuned
6,Absolutely brilliant from start to finish!,Movies,positive,0.961,BERT-base-finetuned
7,An absolute masterpiece that will leave you speechless!,Movies,positive,0.773,BERT-base-finetuned
8,"It had its moments, but overall pretty average.",Movies,neutral,0.697,BERT-base-finetuned
9,A solid effort with some memorable scenes.,Movies,neutral,0.73,BERT-base-finetuned
10,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.914,BERT-base-finetuned
11,The pacing was off and the ending felt rushed.,Movies,neutral,0.797,BERT-base-finetuned
12,Absolutely brilliant from start to finish!,Movies,positive,0.941,BERT-base-finetuned
13,Visually stunning with incredible performances!,Movies,positive,0.835,BERT-base-finetuned
14,"Overhyped and underwhelming, sadly.",Movies,neutral,0.63,BERT-base-finetuned
15,"Waste of time and money, completely disappointing.",Movies,negative,0.948,BERT-base-finetuned
16,A decent watch but nothing groundbreaking.,Movies,neutral,0.747,BERT-base-finetuned
17,A solid effort with some memorable scenes.,Movies,neutral,0.744,BERT-base-finetuned
18,The plot was predictable and the acting was wooden.,Movies,neutral,0.614,BERT-base-finetuned
19,A decent watch but nothing groundbreaking.,Movies,neutral,0.614,BERT-base-finetuned
20,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.792,BERT-base-finetuned
21,An absolute masterpiece that will leave you speechless!,Movies,positive,0.974,BERT-base-finetuned
22,Visually stunning with incredible performances!,Movies,positive,0.892,BERT-base-finetuned
23,The pacing was off and the ending felt rushed.,Movies,neutral,0.778,BERT-base-finetuned
24,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.636,BERT-base-finetuned
25,One of the best films I've seen this year!,Movies,positive,0.931,BERT-base-finetuned
26,"Waste of time and money, completely disappointing.",Movies,negative,0.915,BERT-base-finetuned
27,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.822,BERT-base-finetuned
28,A solid effort with some memorable scenes.,Movies,neutral,0.595,BERT-base-finetuned
29,One of the best films I've seen this year!,Movies,positive,0.873,BERT-base-finetuned
30,"It had its moments, but overall pretty average.",Movies,neutral,0.557,BERT-base-finetuned
31,"Overhyped and underwhelming, sadly.",Movies,neutral,0.775,BERT-base-finetuned
32,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.637,BERT-base-finetuned
33,A decent watch but nothing groundbreaking.,Movies,neutral,0.848,BERT-base-finetuned
34,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.795,BERT-base-finetuned
35,Too long and self-indulgent for my taste.,Movies,neutral,0.844,BERT-base-finetuned
36,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.801,BERT-base-finetuned
37,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.611,BERT-base-finetuned
38,The plot was predictable and the acting was wooden.,Movies,neutral,0.569,BERT-base-finetuned
39,One of the best films I've seen this year!,Movies,positive,0.891,BERT-base-finetuned
40,A solid effort with some memorable scenes.,Movies,neutral,0.552,BERT-base-finetuned
41,An absolute masterpiece that will leave you speechless!,Movies,positive,0.812,BERT-base-finetuned
42,An absolute masterpiece that will leave you speechless!,Movies,positive,0.82,BERT-base-finetuned
43,The dialogue was cringeworthy and the characters were flat.,Movies,neutral,0.59,BERT-base-finetuned
44,Too long and self-indulgent for my taste.,Movies,neutral,0.672,BERT-base-finetuned
45,A solid effort with some memorable scenes.,Movies,neutral,0.684,BERT-base-finetuned
46,A solid effort with some memorable scenes.,Movies,neutral,0.589,BERT-base-finetuned
47,Heartwarming and thought-provoking - highly recommend!,Movies,positive,0.898,BERT-base-finetuned
48,Visually stunning with incredible performances!,Movies,positive,0.904,BERT-base-finetuned
49,"It had its moments, but overall pretty average.",Movies,neutral,0.794,BERT-base-finetuned
50,An absolute masterpiece that will leave you speechless!,Movies,positive,0.813,BERT-base-finetuned
51,Visually stunning with incredible performances!,Movies,positive,0.849,BERT-base-finetuned
52,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.641,BERT-base-finetuned
53,Entertaining enough for a lazy Sunday afternoon.,Movies,neutral,0.603,BERT-base-finetuned
54,Absolutely brilliant from start to finish!,Movies,positive,0.814,BERT-base-finetuned
55,A decent watch but nothing groundbreaking.,Movies,neutral,0.611,BERT-base-finetuned
